child_visible,child_count,child_emotion,adult_visible,adult_emotion,scene_type,is_animated,has_text_overlay,emotional_tone,exploitation_concern,brief_description,id,title,channel
True,1,neutral,True,neutral,outdoor,False,True,neutral,0,A person holds a paper plate with a burger and chips while people stand around a picnic table in an outdoor setting.,pZJlSDNat_A,Dinners We Ate While Camping,bonniehoellein
True,2,neutral,True,neutral,outdoor,False,True,neutral,1,"An adult is carrying a child while another child rides a bike nearby, with baby-themed graphics and text overlay.",TJNSW0B-orw,Some Babies Never Grow Up,bonniehoellein
True,1,excited,False,none,outdoor,False,False,positive,0,"A child outdoors showing a large shark tooth, likely a megalodon tooth, looking excited.",q3HHTAnVcWw,Shark Tooth Hunting with @fretours #megalodon,bonniehoellein
True,2,neutral,False,none,indoor,False,False,neutral,1,"Two children sitting on a bed, one child looking into an orange container.",TiiofThzE4E,Hey Jimmy Kimmel I told my kid I ate all their Halloween candy,bonniehoellein
False,0,none,True,neutral,indoor,False,True,neutral,0,An adult woman making a chef's kiss gesture in a modern indoor room with decorative furniture and the text 'Chef's Kiss' overlayed.,yrKF6yciNSg,Design the ENTRY of My House With Me - Episode 13,bonniehoellein
False,0,none,True,neutral,indoor,False,True,dramatic,1,An adult woman is giving a thumbs-up in a medical setting with bold text expressing surprise about an unexpected finding.,RmmN7yGYKOc,OB/GYN DISASTER Story Time!,bonniehoellein
True,1,neutral,False,none,indoor,False,False,neutral,0,A child with messy dark hair is shown indoors with a floral mannequin and decorative boxes in the background.,KdG8GslBluQ,Sugar Skull / Two Face,bonniehoellein
True,1,neutral,False,none,indoor,False,True,negative,1,A child holding a small dog indoors with the text 'BAD PUPPY' displayed prominently.,WKPHhdI_mH4,Not Everybody Loves Doggy Kisses! + 11 Week  Hair Transplant Postop,bonniehoellein
True,2,excited,False,none,outdoor,False,True,positive,1,Two children enjoying BBQ outdoors with text overlay reading 'BBQ Heaven'.,q4G0HiebqZg,Southern Comfort Food Tour / MISSISSIPPI TRAVEL VLOG,bonniehoellein
False,0,none,True,neutral,indoor,False,True,neutral,0,An adult is installing tile flooring indoors with the text 'Auto Pilot' overlaid on the image.,Zjq8R5LMW28,First Steps to Attempting Normalcy,bonniehoellein
True,1,neutral,False,none,indoor,False,True,positive,0,A young girl is captured mid-handstand indoors with a text overlay showing the channel name Bratayley.,3cvVqsmmy6c,Hayley's First Kick Over! (WK 193.2) | Bratayley,bratayley
True,2,neutral,False,none,indoor,False,True,exciting,1,Two children are indoors with an oversized animated phone graphic and bold text indicating an iPhone prank.,HQMom1HD8ko,iPhone Prank 📱 (WK 393.4) | Bratayley,bratayley
True,2,happy,False,none,indoor,False,True,positive,1,Two children smiling indoors with text saying 'WE GOT A HOUSE' overlaid.,4w0gm8HuF0M,We Got a House (WK 410.6) | Bratayley,bratayley
True,1,neutral,False,none,indoor,False,True,positive,0,"Child sitting in a colorful, decorated bedroom with a bed and stuffed animals visible.",pVISl30hFpc,Annie's Room Tour | The BIG Reveal | Bratayley,bratayley
True,1,neutral,True,neutral,outdoor,False,True,neutral,1,A child and an adult are sitting outdoors with a text overlay of the channel name Bratayley.,_6ZcZMQd6d0,Inspect Your Babies (WK 231.7) | Bratayley,bratayley
True,2,happy,False,none,indoor,False,False,positive,0,"Two children indoors, happily eating slices of pizza.",kn1RI6N1q0s,First Dinner at Our New House (WK 219.4) | Bratayley,bratayley
True,1,neutral,False,none,indoor,False,True,neutral,0,A child looking out a window at a cityscape with a Canadian flag and the text 'CANADIAN TOURISTS' overlaid.,mM__S5kwHk4,Being Canadian Tourists 🇨🇦 (WK 345.5) | Bratayley,bratayley
True,1,neutral,False,none,indoor,False,False,neutral,0,"A young girl with long hair and a hat is sitting inside a car, looking at the camera with a neutral expression.",s65qSRr13xM,She Has Musical.ly Block (WK 303.5) | Bratayley,bratayley
True,1,excited,False,none,outdoor,False,True,positive,0,"A child outdoors with arms raised, water pouring over their head, against a grassy field background.",BfT_MZP9Qdg,Like a Wet Dog! (WK 126.5),bratayley
True,1,excited,False,none,studio,False,True,positive,1,A child jumping in a studio setting with colorful backdrops and a heart-eyes emoji alongside bold text promoting new shows.,qocfAA3qnls,Annie & Hayley's New Shows Sneak Peek 😍  (WK 384.3) | Bratayley,bratayley
True,3,neutral,False,none,outdoor,False,True,exciting,1,"Three children are playing outdoors on a grassy area, with one child pouring water over another's head while holding plastic bags.",MTEfSuyhves,Annie's Revenge! (WK 188.5) | Bratayley,bratayley
True,1,none,False,none,outdoor,False,True,neutral,1,A child is falling off a swing in a wooded backyard area with text overlay 'BRATAYLEY'.,VQh1bgssVhI,Falling out of Swings (WK 174.6) | Bratayley,bratayley
True,1,neutral,False,none,outdoor,False,False,dramatic,1,"A child in snorkel gear is shown in the water near a large rusted object with radiation hazard symbols, with a Google Maps logo in the corner.",87giYgGKcwc,Exploring Dangerous Locations I Found on Google Maps!,brentrivera
True,2,happy,False,none,outdoor,False,False,positive,1,Two children dressed as a bride and groom smiling outdoors with a floral arch in the background.,94JBhbeTiMI,I GOT MARRIED TO MY BEST FRIEND FOR 24 HOURS!!,brentrivera
True,1,neutral,True,neutral,outdoor,False,False,neutral,1,"An outdoor snapshot showing one child and one adult, both with neutral expressions, with the child in the background and the adult in the foreground.",KhdJqAQR16M,MY SISTER’S BIRTHDAY SURPRISE!!,brentrivera
True,1,neutral,False,none,indoor,False,False,neutral,0,A child sitting at a table in a fast food restaurant with food trays in front of them.,rbGFHtkPfW4,Her reaction was priceless 😂,brentrivera
True,1,excited,True,happy,indoor,False,True,positive,1,A young person and two adults in a kitchen setting appear to be reacting excitedly to TikTok content shown alongside a woman holding a tablet.,4dfC67Ba7yQ,MOM REACTS TO TIKTOK TRENDS! | Brent Rivera,brentrivera
True,2,happy,False,none,indoor,False,False,positive,0,"Two children sitting inside a car, both smiling and appearing joyful.",FvRyUrVpn4E,Hahaha😂😂,brentrivera
True,2,neutral,False,none,indoor,False,True,neutral,0,Two children sitting indoors with text overlay comparing 'My Summer' versus 'Everyone Else's'.,AErLowQ5ac0,My Summer VS Everyone Else's (w/ MyLifeAsEva) | Brent Rivera,brentrivera
False,0,none,True,happy,outdoor,False,False,exciting,0,"Two adults are shown side by side, one with a normal body and the other wearing a fake muscle suit, with a woman playfully touching the muscular figure in an outdoor setting.",8gern7qe678,FAKE MUSCLE SUIT PRANK ON FRIENDS!!,brentrivera
True,4,excited,False,none,outdoor,False,False,exciting,0,"Four children on a soccer field with one jumping on a trampoline attempting to hit a soccer ball, with an eagle in the foreground.",sae_R6iZxhE,Can you jump as high as Cristiano Ronaldo??,brentrivera
True,1,happy,True,neutral,indoor,False,True,positive,0,"A child dressed formally is standing behind a table with a cake and stacked glasses, smiling with text overlay reading 'Me at any public event:'",6VDh1BO-0bI,😫😂,brentrivera
True,4,neutral,False,none,outdoor,False,True,neutral,1,Four boys standing outside divided into two groups labeled as new friends and old friends.,nDLOujSULTs,NEW FRIENDS VS OLD FRIENDS! | Brent Rivera,brentrivera
True,1,distressed,True,neutral,indoor,False,False,dramatic,2,Three people sitting inside a car with one person appearing to be distressed as another reaches towards her face.,7ogr8nLgSuw,SHE FINALLY MEETS MY EX GIRLFRIEND (gone wrong),brentrivera
False,0,none,False,none,animated,True,True,positive,0,Animated characters from CoComelon in a snowy outdoor winter scene with holiday attire and a 36 minute duration icon.,Tietq09bHzY,Christmas Songs For Kids + More Nursery Rhymes & Kids Songs - CoComelon,cocomelon
True,1,excited,False,none,animated,True,False,positive,0,Animated child character running excitedly indoors toward a large toy dispenser.,E6CArmgMYo8,Nina Chases a Humpty Dumpty Egg Toy! @CoComelon #shorts #nurseryrhymes,cocomelon
True,3,happy,False,none,animated,True,True,positive,0,Animated infants playing together in a colorful scene from CoComelon.,GdX7q_nk2Sk,Guess the Animal Song | CoComelon Nursery Rhymes & Kids Songs,cocomelon
True,2,happy,False,none,animated,True,True,positive,0,Animated characters at the beach with a sandcastle and vibrant decorations.,V9m8g5hXROA,Best of Beach Songs! ☀️ Summer Songs for Kids + MORE CoComelon Nursery Rhymes & Kids Songs,cocomelon
False,0,none,False,none,outdoor,False,False,positive,0,A sand sculpture of a character from CoComelon created on the beach sand.,KJmg7Cd7IG0,DIY CoComelon at the Beach 🏖️! Sand Crafts Easy 1-2-3! #cocomelon #shorts,cocomelon
True,2,happy,False,none,animated,True,True,positive,0,"Two animated children characters, one dressed as a shark happily posing and the other with arms crossed, set on a bright outdoor background.",E6nD3mIA-ro,Mermaid at the Beach Song | CoComelon Nursery Rhymes & Kids Songs,cocomelon
True,1,neutral,False,none,animated,True,True,positive,0,Animated baby in pajamas holding a teddy bear floating beside a glowing star on a dark background with the CoComelon logo.,b5FQyfiD8b0,I Love My Bed 🛌✨ JJ & Boba's Nighttime Adventure | CoComelon Nursery Rhymes & Kids Songs,cocomelon
True,1,happy,True,happy,animated,True,True,positive,0,An animated thumbnail depicting a happy adult holding flowers and a child near a wheelbarrow in a bright outdoor setting with colorful CoComelon branding.,ep58KNatLLI,Daisy Bell + More Nursery Rhymes & Kids Songs - CoComelon,cocomelon
False,0,none,False,none,animated,True,True,positive,0,Animated image of five yellow cartoon birds with a bright blue sky background and CoComelon logo in the corner.,eRR_F5V5dw8,Five Little Birds 2  | CoComelon Nursery Rhymes & Kids Songs,cocomelon
False,0,none,False,none,animated,True,True,positive,0,Animated penguins wearing winter accessories jumping with a large number 5 on a blue background.,72pm_Y6iUrM,Five Little Penguins Jumping on the Bed | CoComelon Nursery Rhymes & Kids Songs,cocomelon
True,1,happy,False,none,animated,True,False,positive,0,"An animated baby wearing a party hat peeks over a purple surface, surrounded by colorful balloons in a festive setting.",aAEcDSewbdA,PEEKABOO Birthday Game! Where Did JJ Go?! #cocomelon #shorts,cocomelon
True,3,excited,True,happy,animated,True,True,positive,0,Animated characters including adults and children enjoying a baseball game outdoors with a colorful CoComelon logo and text overlay.,0rxGTNNJzNs,Take Me Out to the Ball Game Song! | CoComelon Nursery Rhymes & Kids Songs,cocomelon
True,1,happy,True,neutral,mixed,False,True,exciting,0,"Family inside a car with images of a red Tesla and a black truck outdoors, suggesting a vehicle trade.",n6rDBUZtvGE,Trading Our Truck For A Tesla?! (First Test Drive),dailybumps
False,0,none,True,neutral,indoor,False,False,neutral,0,An adult is holding a large cardboard box indoors with a window and some home decorations in the background.,b8N1sWx9gq0,HUGE SURPRISE PACKAGE FOR MISSY!,dailybumps
False,0,none,True,neutral,outdoor,False,False,dramatic,0,"An adult outside near a house surrounded by many insects, with a blurred face.",6N3I5yBKsuc,What’s Infesting Our House?! 🦟,dailybumps
True,1,neutral,True,excited,indoor,False,True,exciting,1,"An adult woman driving a car with a child in a car seat in the back, with text overlay indicating excitement and nervousness.",Ru26mhp1iCs,WE GOT SOME BIG NEWS!!,dailybumps
True,1,neutral,False,none,indoor,False,False,positive,1,A young child indoors sitting at a table in a casual setting.,PQFF89CPlcE,CUTE COPYCAT TODDLER!,dailybumps
True,3,happy,False,none,indoor,False,False,positive,1,Three children in Christmas pajamas opening presents in a cozy indoor setting with holiday decorations.,DqcmQDPfaTE,EARLY CHRISTMAS SURPRISE!! (Smoky Mountain Family Vacay Vlog),dailybumps
True,3,happy,True,happy,outdoor,False,True,positive,0,A family with three children and one adult at a farm holding and interacting with baby animals.,wWvZvKVh_PI,ADOPTING THE CUTEST FARM ANIMALS!!,dailybumps
True,2,happy,True,happy,indoor,False,False,positive,1,A young child is holding a baby brother indoors with a smiling adult supporting them.,upvTrlKF0gY,HOLDING BABY BROTHER!,dailybumps
True,2,scared,True,scared,outdoor,False,True,dramatic,2,"Two children and one adult appear to be running away from bees near an abandoned underground tunnel, with a large red arrow pointing towards the tunnel entrance.",xf6iKlEbh6k,Exploring Secret Abandoned Underground Tunnel TRAPPED WITH BEES! 🐝 (HIVE FOUND),dailybumps
True,1,happy,True,happy,studio,False,True,positive,1,A smiling woman holds a happy young girl in a pink dress against a bright pink background with text promoting an adorable interview.,xoQy0-XD-EE,The CUTEST 3-Year-Old Interview You’ll Ever See 🥰🎂,dailybumps
True,2,neutral,True,neutral,outdoor,False,False,positive,0,A family with two children posing with a Mickey Mouse character in front of Cinderella's castle at Disney World.,bF0AI87m0Es,DISNEY WORLD SPRING BREAK SPECIAL!,dailybumps
True,1,neutral,True,neutral,indoor,False,False,neutral,0,"A child and adult sit at a table indoors, holding open a blue book facing the camera.",dKOixDVWD1U,We Added THIS Inside Our First Children’s Book… 🍪 (HUGE UPDATE!),dailybumps
True,1,sad,False,none,indoor,False,False,dramatic,1,"A child with a blurred face and an added crying emoji, appearing emotional in a crowded indoor event.",PXyGfF6LNq4,AN EMOTIONAL SURPRISE!,ehbee
True,3,neutral,False,none,outdoor,False,False,exciting,1,"Three children are shown in front of a large mansion, seemingly engaged in a hide and seek game.",NiVFHjEuHFk,Hide & Seek in a MANSION!,ehbee
True,3,excited,True,happy,indoor,False,False,positive,0,"Four people, including three children and one adult, celebrating indoors around a table with festive decorations.",LSf2BSgTSZk,Who's Ready?,ehbee
True,2,happy,True,happy,indoor,False,True,positive,0,Three people wearing festive clothing and Santa hats smile indoors with holiday decorations in the background and a 'TOP VIDEOS' text overlay.,zF-9eEmtOl0,Top Bee Family TRY NOT TO LAUGH MOMENTS 3 | The Bee Family,ehbee
True,2,neutral,True,neutral,indoor,False,False,neutral,0,Three people sitting on a couch and a woman standing with a vacuum in different parts of an indoor room.,VslyrGxCkEM,Music Saves Lives,ehbee
True,3,happy,False,none,animated,True,False,exciting,1,Three children’s faces are superimposed onto animated Teenage Mutant Ninja Turtle characters in a colorful cityscape background with a full moon.,ZA3i4oAGBXw,ROBLOX NINJA TURTLES FAMILY CHALLENGE,ehbee
True,4,neutral,False,none,animated,True,True,neutral,0,Four animated child characters posing in front of a house with the text 'TOP VIDEOS' overlayed.,YtVnW-ml_UE,Top Bee Family BROOKHAVEN MOMENTS | The Bee Family,ehbee
True,1,surprised,True,happy,indoor,False,True,exciting,1,"A child looks surprised while two adults interact with him indoors, with the word 'SURPRISE!' in red text overlay.",AiX5a_gmn28,SURPRISE TRIP TO JAPAN!!,ehbee
True,1,neutral,True,neutral,indoor,False,False,neutral,1,"A child and an adult are indoors, the child holds a colorful mask while the adult stands nearby.",gYaBL_mloJM,Torturing My Family! (Funny Moments),ehbee
True,2,neutral,False,none,indoor,False,True,positive,0,Two children sitting at a table eating snacks with a large tray of food in front of them.,KljjTQj0nO4,Top Bee Family COOKING MOMENTS | The Bee Family,ehbee
True,2,excited,False,none,indoor,False,False,exciting,1,Two children excitedly showing Nintendo game boxes against a background with Mario-themed decor.,Rl8SGHPmAgo,We only Found This in JAPAN...,ehbee
True,2,neutral,True,neutral,mixed,False,True,positive,1,"Four people, including two children dressed in traditional clothing and two adults holding light sticks, with a colorful outdoor background and text overlay saying 'TOP VIDEOS.'",5A41v7qgIyI,Top Bee Family TRAVEL VLOGS MOMENTS | The Bee Family,ehbee
True,1,neutral,True,neutral,outdoor,False,True,positive,1,"An adult and a child stand outdoors holding a dog, with text overlay reading 'HAVE YOU EVER' on a rustic brick background.",UkgqM1j3qBs,HAVE YOU EVER!!! (We didn't know this about each other!!),everleighrose
True,2,happy,False,none,indoor,False,True,positive,1,"Two young girls smiling indoors with school supplies and colorful pencils in the foreground, suggesting back-to-school shopping.",jhhwcMHGK4Q,BACK TO SCHOOL SHOPPING FOR KINDERGARTEN!,everleighrose
True,2,neutral,True,neutral,indoor,False,False,positive,1,"Two young children sitting in salon chairs getting their nails done, with adults attending to them.",MdxUFBlynys,EVERLEIGH & AVA 3 year olds at the nail salon | ForEverAndForAva,everleighrose
True,1,happy,True,happy,indoor,False,False,positive,1,"A child surprises a pregnant woman with flowers indoors, both appear happy.",tgiv9DdF9BE,Surprising our PREGNANT MUM for VALENTINE’S DAY | Family Fizz,familyfizz
True,1,neutral,True,neutral,indoor,False,True,neutral,1,An adult and a child posing in a climbing gym with text identifying the child as the gymnast.,FE4_PReBqGQ,12 YR OLD GYMNAST vs TEEN ROCK CLIMBER CHALLENGE! | Family Fizz,familyfizz
True,1,excited,True,neutral,outdoor,False,False,exciting,1,A child is shown excited outdoors with an inset image of the child meeting Santa Claus.,blKIdjEZffA,Meeting SANTA for the FIRST TiME! *she freaked* | Family Fizz,familyfizz
True,1,neutral,False,none,indoor,False,True,neutral,0,"A child in a unicorn onesie sits in bed holding a stuffed animal, with bright colors and text overlay on the thumbnail.",cWsH8RKdE-g,SIENNA'S BACK TO SCHOOL MORNiNG ROUTINE | Family Fizz,familyfizz
True,2,happy,False,none,outdoor,False,True,positive,1,Two children smiling and posing outdoors in front of a large vehicle with farm-themed graphics and text overlays.,rXfOkO04RZc,24 HOURS LIVING ON A FARM! | Family Fizz,familyfizz
True,1,happy,True,happy,indoor,False,True,positive,1,An adult and a child happily holding shopping bags and a drink in an indoor mall setting with a text overlay saying 'SAY YES!'.,A50E623yW9Q,SAYING YES TO OUR KIDS FOR A DAY *can’t say no challenge!*,familyfizz
True,1,neutral,True,neutral,outdoor,False,True,positive,0,A groom holding a baby while facing a bride dressed in a wedding gown outdoors.,pz-8thl72ds,OUR WEDDING DAY *super emotional* | Family Fizz,familyfizz
True,1,neutral,True,neutral,indoor,False,True,neutral,1,An adult and a child stand indoors near white wedding dresses with a large red question mark overlaid.,aYl5CjNNccY,KIDS CHOOSE MY WEDDING DRESS! | Family Fizz,familyfizz
True,2,happy,True,neutral,indoor,False,True,positive,1,"Two young children wearing yellow dresses and cat ear headbands pose indoors with two adults behind them, with a large red arrow pointing toward one child.",6DmV1GYulG0,SIENNA'S ROOM MAKEOVER TRANSFORMATION! | Family Fizz,familyfizz
True,1,excited,False,none,indoor,False,True,exciting,1,A child sitting on a bed holding shopping bags with added text and emojis expressing surprise.,3kVUlp-zszY,Last minute BACK to SCHOOL shopping! | Family Fizz,familyfizz
True,3,happy,False,none,indoor,False,False,positive,1,Three children indoors holding luxury advent calendars and smiling.,cGvdEwpDwgI,GIVING OUR KIDS LUXURY ADVENT CALENDARS!,familyfizz
True,1,neutral,False,none,indoor,False,False,positive,1,A child holding a drawing of a phone in a store setting with a hand offering real phones next to them.,v7iLvHI4dUE,"WHATEVER YOU DRAW, I'LL BUY IT Challenge! | Family Fizz",familyfizz
True,3,surprised,True,neutral,outdoor,False,True,dramatic,1,"Children and an adult stand near a fire pit outdoors with one child covering their face in surprise, surrounded by text highlighting a final challenge and winner announcement.",g0ZHOcAaRlM,Outdoor Survivor Challenge Ep. 3 - Winner Announced!,familyfunpack
True,1,neutral,True,neutral,outdoor,False,True,exciting,1,"A child dressed as a police officer drives a toy police car outdoors while an adult in a black mask gestures to be quiet beside them, with 'ESCAPE' text overlay.",RZHctn58GAE,Escape Room Game - Family Fun Pack,familyfunpack
True,1,distressed,True,distressed,mixed,False,True,dramatic,2,"A thumbnail showing a distressed adult and child hugging, alongside images of flood damage and a landslide, with dramatic text overlay warning of catastrophic flood in Hawaii.",-hy2DkBPusU,48 Hours of CATASTROPHIC FLOOD *Hawaii*,familyfunpack
True,1,neutral,True,neutral,indoor,False,True,neutral,1,"A child and an adult are shown indoors with multiple text overlays about life updates including driving, girlfriend, and first job.",t4e8BzNXqMo,"Chris Life Update 2026 *Girlfriend, Driving, Job*",familyfunpack
False,0,none,False,none,outdoor,False,False,neutral,0,A group of six fighter jets flying in formation against a partly cloudy sky.,Xm2zj_XK5yU,LOOK UP! #shorts,familyfunpack
True,3,neutral,True,neutral,outdoor,False,True,neutral,1,"A woman stands outside a house with three children nearby, with a text overlay about working kids to death.",Vj5ywk6H-fA,When You Work Your Kids to Death..... #shorts,familyfunpack
True,1,neutral,False,none,indoor,False,False,neutral,0,A young boy wearing a yellow shirt with cartoon designs is sitting indoors against a white wall with framed pictures.,x0ICmBDX7u0,All About Michael #shorts,familyfunpack
True,1,neutral,True,neutral,indoor,False,False,positive,0,"Close-up of an adult and a child sharing a tender moment, with the adult kissing the child's cheek.",AEzXf2vozQk,Mommy Son Lullaby Duet - A Most Special Video with Michael,familyfunpack
True,1,neutral,False,none,indoor,False,True,positive,0,A child lying down indoors holding a handmade sign expressing their enjoyment of Family Fun Pack videos.,fVjeIVdAAAA,Celebrate Around the World with Us!,familyfunpack
True,4,neutral,False,none,indoor,False,False,neutral,0,"Four children standing indoors, each holding a paper with a number on it.",gC3oERCpTmw,"Out with the old, in with the new #shorts",familyfunpack
False,0,none,True,neutral,indoor,False,True,dramatic,1,Four adults in green shirts posing indoors with text overlays expressing surprise and emotional content.,bSeTXiKkqXs,Didn't Expect Our Pregnancy to End This Way....,familyfunpack
True,7,happy,True,happy,indoor,False,True,positive,1,A group of children and one adult in matching pajamas posing happily on the floor in front of a decorated Christmas tree with 'Christmas 2025' text overlay.,bkVjo4pqbEE,24 Hours with 8 Kids || Christmas Special 2025,familyfunpack
False,0,none,True,neutral,indoor,False,True,neutral,0,An adult male with a blurred face is shown next to a screenshot of a YouTube analytics page displaying estimated revenue and subscriber count.,WLyYKildEes,I Built A Secret YouTube Automation Channel To Prove It's Not Luck!,itsyeboi
True,1,excited,False,none,indoor,False,True,exciting,1,A child excitedly presenting a glowing mystery box labeled 'Escobar Inc.' indoors.,yq7j2mVb_g8,Pablo Escobar Sent Me Another Mystery Box!,itsyeboi
False,0,none,True,excited,indoor,False,True,exciting,0,"An adult holding up a boxed phone inside a warehouse filled with unopened Amazon packages and a price tag overlay showing $10,332.",aoujd-7HdAs,"I Bought $10,332 Worth of UNOPENED Amazon Packages and found this.. (IPHONE & SAMSUNG GALAXY)",itsyeboi
False,0,none,True,neutral,studio,False,True,dramatic,0,"An adult holding two pairs of headphones with price tags comparing $10 fake AirPods Max and $549 AirPods Max, with a Wish logo in the background.",UUPG6qXauWI,$10 FAKE AirPods Max Vs. $549 AirPods Max!! (WISH AirPods Max),itsyeboi
True,1,excited,False,none,studio,False,False,exciting,1,A child excitedly holding a box labeled 'Google' filled with various Google products.,D4A7hWTPzko,I Bought All The GOOGLE Products!!,itsyeboi
True,1,neutral,False,none,indoor,False,True,exciting,1,A child holding a coin and a watermelon half with text overlay saying 'HOW?!' in an indoor setting.,RAlCd5sxbpc,How To Cut A Watermelon IN HALF With a Coin!! *TOP 5 BAR TRICK BETS YOU WILL ALWAYS WIN* IMPOSSIBLE,itsyeboi
True,1,excited,False,none,indoor,False,False,exciting,1,A child excitedly posing behind an open wooden military crate containing old items.,XMgtEaJIslo,"I Bought A $1,000 Abandoned Military Crate!!",itsyeboi
True,1,excited,False,none,indoor,False,True,exciting,1,"A child enthusiastically displays two sets of Pokémon cards purchased from Wish, highlighting their prices.",-2VE8lvAM8s,I Bought All The Pokemon Cards On Wish!!,itsyeboi
True,1,excited,False,none,indoor,False,True,dramatic,2,"A child inside a warehouse with a large Amazon box, holding a censored object with a $12,425 price tag graphic over the box.",9H6m5oQa8qA,I Bought An Amazon Mystery Pallet And Found This... (CAN'T SHOW ON CAMERA!!),itsyeboi
True,1,neutral,False,none,indoor,False,False,positive,1,A child wearing a yellow jacket is sitting indoors near a large Amazon box filled with new release products.,BsMaqGk8TLc,I Bought All The NEW RELEASE Products On Amazon! (June 2021),itsyeboi
False,0,none,True,neutral,indoor,False,True,exciting,0,An adult is holding up an iPhone next to two stacks of older iPhones with text highlighting '33 IPHONES' on the screen.,woL6_BZYP9Q,I Bought An Apple Return Lot With 33 iPhones On eBay!!,itsyeboi
False,0,none,True,neutral,indoor,False,True,positive,0,"An adult male holding a graded Pokemon card with sales statistics and a $500,000 total sales figure displayed.",FFnsGNBP4GA,"How I Sold $500,000 Worth of Pokemon Cards",itsyeboi
True,2,neutral,False,none,outdoor,False,True,exciting,1,Two children performing acro gymnastics poses outdoors with text overlay describing an acro challenge.,61s4cA6C7rs,BOY vs GIRL Acro Gymnastics Challenge (DON'T Ship Them 😂),jordanmatter
True,5,happy,False,none,indoor,False,True,exciting,1,A blindfolded boy reaching out to touch a smiling girl among four kids indoors with text overlay asking 'will he pick her?',9z530VF9d0w,GUESS THE BEST FRIEND BLINDFOLDED *Emotional*,jordanmatter
True,1,distressed,True,neutral,outdoor,False,True,dramatic,2,A child is doing push-ups outdoors under the watch of a person in military boots with text 'military school' overlayed.,Y2JzBV3Epl4,My Daughter Survives 6 Schools That Shouldn’t Exist,jordanmatter
True,1,neutral,True,neutral,outdoor,False,True,dramatic,2,A child is holding a missing person poster in an outdoor rainy park setting with additional missing posters visible in the background.,mkgTZ6YorkE,MY DAD IS MISSING! *Game of Chase*,jordanmatter
