performative_labor,emotional_bait,narrative_conflict,challenge_format,commercial_content,privacy_violation,overall_exploitative,reasoning,video_id,title
0.2,0.1,0.0,0.0,0.0,0.0,0.1,"The video appears to be a natural family vlog documenting a holiday event without staged performance, emotional exaggeration, conflict, or privacy violations, indicating low exploitative potential.",exDw7Jj68G8,Ballinger Family Thanksgiving Special 2025- Vlogmas Day 1
0.1,0.2,0.0,0.0,0.3,0.0,0.1,"The video appears to be a natural family vlog about shopping and meal planning with no evident scripted child performance, emotional exaggeration, conflict, or privacy violations, though some commercial content is implied by shopping focus.",0Ype_n8hjMU,Shopping & Meal Planning for Our Family of 8!
0.2,0.3,0.1,0.0,0.0,0.0,0.1,"The video depicts a natural family road trip with minimal staged content or emotional exaggeration, no evident conflict or challenge format, no commercial or privacy concerns, indicating low exploitation risk.",wgivSsX9ygg,Surviving a ROAD TRIP with 7 Kids! 🚗😱 Family Camp DAY 1
0.3,0.6,0.0,0.0,0.2,0.0,0.2,"The video appears to show a natural family outing with some staged excitement for the camera, uses some emotional bait in the thumbnail, but lacks conflict, challenge format, or privacy violations, making it only mildly exploitative.",TgExr4hVNes,Parker's Christmas Present!
0.2,0.1,0.0,0.0,0.0,0.0,0.1,"The video depicts a natural family moment of a child's first gymnastics lesson with minimal staging, no conflict or challenge format, and no evident privacy violations or commercial content, making it unlikely to be exploitative.",zFfkKsbTgCA,Luke's First Day of Gymnastics!
0.2,0.1,0.0,0.0,0.3,0.0,0.1,"The video appears to be a casual update about a teenager with minimal performative or emotional bait elements, some commercial content via worksheet links, and no evident privacy violations or conflict.",ows9a02q8Vs,Bailey Update ✨2024✨
0.8,0.3,0.0,0.0,0.1,0.0,0.4,"The video features a staged character performing scripted educational content with mild emotional exaggeration but no conflict, challenge, or privacy concerns, indicating moderate performative labor but low overall exploitation.",1ZOLmAteHvw,Jump Into Fun! Blippi's Ballpit Clubhouse & Indoor Playground Adventure | Educational Videos
0.1,0.0,0.0,0.0,0.0,0.0,0.0,"The thumbnail and title depict a natural family moment without staged content, emotional exaggeration, conflict, challenges, commercial signals, or privacy violations, indicating non-exploitative family documentation.",lXh9Ooce2Rw,Working From Home in Spain 🇪🇸💻 | Vlogmas Day 9
0.3,0.2,0.0,0.0,0.5,0.0,0.2,"The video appears to be a natural family vlog style content about baby shopping with no evident drama or challenges, mild commercial signals, and no privacy violations, indicating low exploitation risk.",FlnYEd52S4w,Baby Shopping Haul!
0.8,0.3,0.0,0.0,0.1,0.0,0.2,"The video features a staged educational performance by an adult character for kids with mild emotional appeal but no conflict, challenge, or privacy concerns, indicating low exploitation risk.",DOjTAh8_cVQ,How Do Camels Survive in the Desert? 🐪🌵 Blippi's Camel Adventure! | Educational Videos for Kids
0.9,0.7,0.2,0.0,0.1,0.0,0.4,"The video features highly staged Halloween-themed content with exaggerated expressions for engagement but lacks conflict, challenge format, or privacy violations, making it somewhat performative but not strongly exploitative.",wgjKRuOVGJM,🐊 Can Blippi Trick or Treat with an ALLIGATOR? 🎃 Silly Halloween Adventure!
0.9,0.3,0.0,0.0,0.1,0.0,0.3,"The video features a performer in costume engaging in scripted educational content with mild emotional expression but no conflict, challenge, or privacy concerns, indicating low exploitation risk.",qdhSsCburIc,Blippi Plays with Light and Color! 🎨 Learn Through Educational Science Fun
0.2,0.3,0.0,0.0,0.1,0.0,0.1,"The video appears to be educational content featuring a performer in costume with mild emotional expression, no conflict or challenge format, no privacy issues, and minimal commercial signals, indicating low exploitation risk.",SwXA_w11wxM,What Makes Hot Air Balloons Rise? 🎈 Blippi Explores Science! | Educational Videos for Kids
0.9,0.3,0.0,0.0,0.1,0.0,0.3,"The video features a highly staged performance by an adult entertainer in costume for kids, with minimal emotional bait and no conflict or privacy issues, indicating low exploitation risk overall.",yPyvKLd-zzQ,Blippi's Dig It Digger: Excavator Adventures for Kids! - Blippi | Educational Videos for Kids
0.7,0.3,0.0,0.0,0.1,0.0,0.3,"The video shows children performing a scripted song and staged snowy activities for the camera but lacks emotional exaggeration, conflict, challenges, or privacy violations, indicating mild performative labor without strong exploitative signals.",VJ0SCZ3ndOI,Brand New Snowy Day Song! | Blippi and Meekah Winter Nursery Rhymes for the Family
0.3,0.2,0.1,0.0,0.6,0.0,0.3,"The video appears to be a casual family vlog with some commercial content promotion but lacks strong signs of scripted performance, emotional bait, conflict, or privacy violations.",flSS9O4hk1A,Nightly Check Ins and Chit Chats!
0.3,0.2,0.0,0.0,0.4,0.0,0.3,"The video appears to be a casual family vlog with some mild staged elements and commercial links, but lacks strong emotional bait, conflict, or privacy violations, indicating low overall exploitation risk.",hXgW7zc8FU0,Good OLD Vlog
0.3,0.4,0.1,0.0,0.6,0.0,0.3,"The thumbnail and title suggest mild performative content with some emotional appeal and visible product links, but lack strong conflict, challenge, or privacy concerns, indicating low overall exploitation.",KAx5p7xMqKo,Saying Goodbye to the Kids BABY TOYS
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"The thumbnail and title show a natural activity without emotional exaggeration, conflict, challenge, commercial signals, or privacy concerns, indicating no exploitation.",P0pHKo_NUwo,"Relax,Take a Deep Breath #chiropracticadjustment"
0.1,0.0,0.0,0.0,0.5,0.0,0.1,"The video appears to be a natural family outing with minimal staging, no emotional exaggeration or conflict, but includes commercial sponsorship, indicating low overall exploitation.",VNkbDlQikAc,Colder than We Expected! Summer Family Friendly Hikes!
0.1,0.0,0.0,0.0,0.0,0.0,0.1,"The thumbnail and title depict a natural moment of a child eating fruit without staged performance, emotional exaggeration, conflict, challenge, commercial content, or privacy violation, indicating low exploitation risk.",2oe3vxEcNPI,Fresh Fruit
0.3,0.1,0.0,0.0,0.0,0.0,0.2,"The video appears to show children naturally interacting in a family setting with minimal signs of staged content, emotional exaggeration, conflict, or commercial exploitation.",ayr459313HQ,Joels Turns 30 - KIDS PLAN A PARTY
0.7,0.3,0.0,0.0,0.0,0.0,0.3,"The video appears to be a staged 'Daddy Daughter Tag' interview-style content with some performative elements but lacks emotional bait, conflict, commercial content, or privacy violations, making it only mildly exploitative as typical family content.",OsdPrc5ikpc,daddy daughter tag
0.0,0.0,0.0,0.0,0.5,0.0,0.1,"The video appears to show a natural activity without exaggerated emotions or conflict, but includes commercial links suggesting some product promotion, with low overall exploitation risk.",mfbpj7bpEqE,Window Cleaning Routine
0.2,0.1,0.0,0.0,0.3,0.0,0.1,"The video appears to show natural family activities with minimal staging, low emotional exaggeration, no conflict or challenge format, some commercial links in description, and no evident privacy violations, indicating low exploitation risk.",-FtflAry6Xw,Much Needed Time with COUSINS! #cliffjumping
0.7,0.3,0.2,0.0,0.0,0.0,0.3,"The video appears to involve staged content with the Elf on the Shelf concept, moderately performative but without strong emotional bait, conflict, or privacy concerns, suggesting low overall exploitation.",4r4vagEXQOU,Elf in the FRIDGE
0.8,0.6,0.7,0.9,0.0,0.0,0.7,"The video depicts a staged challenge with exaggerated expressions and manufactured conflict typical of challenge content, indicating performative labor and potential exploitation for content creation rather than natural family documentation.",EvYqyEzhlus,Egg Roulette Challenge!
0.1,0.0,0.0,0.0,0.3,0.0,0.1,"The video appears to show a natural family moment with minimal staging, no emotional exaggeration or conflict, slight commercial content from links, and no evident privacy violations, indicating low exploitation risk.",ZzI6gngpP5I,Healing Moments
0.2,0.1,0.0,0.0,0.3,0.0,0.1,"The thumbnail shows a natural child activity without exaggerated emotions or conflict, with minor commercial content due to clothing line links, indicating low exploitation risk.",PJQorxCps08,Extreme Measures For A DOG BATH
0.7,0.3,0.1,0.0,0.4,0.0,0.5,"The thumbnail and title suggest some staged content with a child addressing a celebrity, moderate commercial content from links, but limited emotional bait or conflict, indicating partial but not strong exploitation.",S1ilExaLN6U,Hey Jimmy Kimmel.....2020
0.0,0.0,0.0,0.0,0.0,0.0,0.0,"The thumbnail shows an adult, not a child, and the title suggests a natural activity without exaggerated emotions, conflict, challenge, commercial content, or privacy concerns, indicating no exploitation.",dmOVftBpqnE,Skateboarding is Hard.
0.2,0.1,0.0,0.0,0.0,0.0,0.1,"The video appears to show adults in a natural setting with no clear signs of child performative labor or exploitation, and the title and description do not indicate any exploitative content.",wdeqUx5VmFY,Romantic Gesture #shorts
0.2,0.3,0.0,0.0,0.7,0.0,0.3,"The thumbnail shows a natural playful moment with mild curiosity bait and clear commercial links, but lacks scripted performance, conflict, or privacy violations, indicating low exploitation risk.",2EPCB5jo9qw,Retail Therapy DOES Bring Joy
0.1,0.0,0.0,0.0,0.3,0.0,0.1,"The video appears to show a natural home activity without exaggerated emotions or conflict, with minor commercial content from product links but no evident exploitation or privacy issues.",deMcdvfG5WY,Quarantine Spring Cleaning
0.1,0.0,0.0,0.0,0.3,0.0,0.1,"The video appears to show a natural family moment with a child playing with a train near a Christmas tree, with no exaggerated emotions or conflict, but includes some commercial links in the description.",BCxuqNo8oyc,Christmas Train
0.2,0.1,0.0,0.0,0.3,0.0,0.1,"The video appears to show a natural cleaning activity with mild product placement and no evident emotional exaggeration, conflict, or privacy issues, indicating low exploitation risk.",xK-ME0QGAig,"New Year, Same Me. CLEAN MY BATHROOM WITH ME!"
0.1,0.0,0.0,0.0,0.3,0.0,0.1,"The video appears to show a natural family activity without exaggerated emotions or conflict, with minor commercial content due to shopping links but no clear signs of exploitation or privacy violation.",mbBu-NmRdo8,Paddle Boarding in the Florida Keys
0.2,0.0,0.0,0.0,0.1,0.0,0.1,"The video appears to be a family vlog featuring a common holiday tradition with minimal staging, no emotional exaggeration, conflict, or privacy concerns, and only slight commercial presence due to visible product placement.",lYIMucgOllU,Elf on the Shelf Day 24
0.0,0.0,0.0,0.0,0.3,0.0,0.1,"The thumbnail shows an adult, not a child, with no exaggerated emotions or conflict, and the title is neutral; commercial content is slightly indicated by the description links but no direct product placement in the thumbnail.",SX8YgXrVsig,Reality Talk
0.7,0.3,0.2,0.0,0.6,0.0,0.4,"The video shows children performing staged content likely created for the camera with some commercial promotion, but lacks strong emotional bait, conflict, challenge format, or privacy violations, making it moderately exploitative.",XrwQ0TAwyOw,Check Check ✔✔ (WK 334.3) | Bratayley
0.2,0.1,0.0,0.0,0.7,0.0,0.3,"The video appears to be a casual vlog-style family content with minimal staged performance or emotional bait, but includes commercial links promoting merchandise, indicating some commercial exploitation without privacy violations or manufactured drama.",JLj11umr1CE,Heading to Hollywood (WK 231.4) | Bratayley
0.2,0.3,0.1,0.0,0.8,0.4,0.3,"The thumbnail and title suggest a staged reaction at a doctor's office with some emotional bait and clear commercial links, but limited evidence of challenge format or strong conflict, and moderate privacy concerns due to medical context.",X2nBW6vtHH4,I was not expecting this at the Dr's Office
0.8,0.7,0.3,0.6,0.7,0.1,0.6,"The thumbnail and title suggest staged risky behavior with emotional clickbait and commercial links, indicating performative content with some exploitation potential but limited privacy violation.",wQD3OnVkpEk,Don't Try This At Home 😱 (WK 378) | Bratayley
0.1,0.2,0.0,0.0,0.3,0.0,0.2,"The thumbnail and title suggest a lightly staged moment with some commercial links but lack strong emotional bait, conflict, or privacy violations, indicating low exploitative potential overall.",16kvP_8gQuA,Don't Look at My Eyes! (WK 86)
0.7,0.2,0.0,0.0,0.6,0.0,0.5,"The video shows children in costumes likely performing for the camera with some commercial links present, but lacks emotional bait, conflict, or privacy violations, indicating moderate exploitation risk.",dHvSA5R6LLs,Halloween-ified (WK 196.7) | Bratayley
0.7,0.1,0.0,0.0,0.6,0.0,0.5,"The video shows children performing in a staged interview setting with commercial links promoting merchandise, but lacks emotional bait, conflict, or privacy violations, indicating moderate exploitation primarily for content creation and commercial purposes.",d6s1e1iHGw8,Live at Radio Disney 📻 (WK 362.3) | Bratayley
0.1,0.0,0.0,0.0,0.7,0.0,0.3,"The video appears to be a casual family vlog with minimal performative labor or emotional bait, but includes commercial content through multiple shopping links, lowering the overall exploitative score.",Hg0RFsxpMc8,Mahalo Monday! (WK 262.6) | Bratayley
0.7,0.6,0.1,0.0,0.3,0.0,0.4,"The video shows children performing a staged activity (eating a 'poisonous pineapple') with some emotional expression to attract clicks, includes commercial links, but lacks clear conflict, challenge format, or privacy violations, making it moderately exploitative.",7tKO8xFJrkM,World's Most Poisonous Pineapple! (WK 150.6) | Bratayley
0.3,0.6,0.0,0.0,0.7,0.0,0.4,"The video appears to show staged content with some emotional exaggeration and clear commercial promotion, but lacks conflict, challenge format, or privacy violations, making it moderately exploitative as content creation rather than pure family documentation.",mXhMdaUpMJY,Babysitting and Christmas Parties! (WK 312.3) | Bratayley
0.2,0.1,0.0,0.0,0.3,0.0,0.2,"The video appears to show natural child activity with minimal staging, low emotional exaggeration, no conflict or challenge format, some commercial links in description, and no privacy violations, indicating low exploitation risk.",uX4ZTIL39jE,Can We Go Peek? (WK 30)
0.7,0.1,0.0,0.0,0.6,0.0,0.5,"The video shows a child performing a styled activity for the camera with commercial links present, but lacks emotional bait, conflict, or privacy violations, indicating moderate exploitation potential.",8Ili90DGf18,How to Get Annie's Epic Bun (WK 315) | Bratayley
0.8,0.3,0.6,0.5,0.7,0.0,0.6,"The thumbnail and title suggest a staged playful conflict with costumes and a branded channel, including commercial links, indicating performative content with moderate exploitative potential but no clear privacy violations.",sN2yRaJXloc,Boy vs. Pirate (WK 239.6) | Bratayley
0.7,0.6,0.0,0.0,0.8,0.0,0.5,"The thumbnail shows a child in a staged climbing activity with exaggerated expression and bold text, combined with commercial links in the description, indicating moderate performative labor and commercial content but no clear conflict or privacy issues.",6oYgSpYgrf0,It is the Climb ⛰ (WK 345.4) | Bratayley
0.3,0.1,0.0,0.0,0.7,0.0,0.3,"The video appears to be a family vlog with some commercial promotion but lacks strong signs of scripted performance, emotional bait, conflict, or privacy violations.",yRTntNmZQIM,"It's a Happy New Year, Not a Sad New Year | New Year's Eve 2015 (WK 261.2) | Bratayley"
0.3,0.4,0.0,0.0,0.8,0.0,0.4,"The thumbnail and title suggest some staged content with moderate emotional bait and strong commercial links, but no clear conflict, challenge, or privacy issues, indicating moderate exploitation risk primarily due to commercial content.",GhxywFueF0c,I Can't Believe It! (WK 78.2)
0.8,0.3,0.1,0.9,0.4,0.0,0.6,"The video features children performing a staged 'Baby Food Challenge' which is a manufactured activity for the camera, includes some commercial links in the description, but lacks strong emotional bait, conflict, or privacy violations, making it moderately exploitative as content generation rather than natural family documentation.",T6YAx1hbCgs,Baby Food Challenge (WK 86.4)
0.2,0.1,0.0,0.0,0.7,0.0,0.3,"The video appears to be a casual vlog with low performative labor and emotional bait, but includes commercial content through multiple shopping links, indicating some use of the child for content generation rather than purely family documentation.",PfVlCwi6894,Behind the Scenes of BKB-Bratayley Knows Best Vlog (WK 90.5)
0.7,0.2,0.0,0.0,0.6,0.0,0.5,"The video shows a child performing singing likely staged for the camera with some commercial promotion, but lacks emotional bait, conflict, challenge format, or privacy violations, indicating moderate exploitation potential.",IyOX8A13lZ0,Hayley's Singing? 🎙️ (WK 371) | Bratayley
0.3,0.1,0.0,0.0,0.4,0.0,0.3,"The thumbnail and title suggest a casual family/kid video with minor commercial promotion but little evidence of staged performance, emotional bait, conflict, or privacy violation.",EmnxM6Tp7HE,Hurricane Hayley (WK 165.2) | Bratayley
0.3,0.1,0.0,0.0,0.7,0.1,0.3,"The video appears to be a family vlog featuring a young child celebrating a birthday with some commercial links present, minimal staged content or emotional bait, and low privacy concerns, but some commercial intent is evident.",d2yVcRmkFAc,I am Four Years Old! (WK 112.2) | Bratayley
0.2,0.3,0.4,0.0,0.7,0.1,0.4,"The video shows some scripted conflict and commercial promotion but features a natural child moment with limited emotional exaggeration and low privacy concerns, indicating moderate exploitation risk.",SEUNMqF1mpk,You're Gonna Mess Her Mess Up! (WK 82.7)
0.6,0.3,0.0,0.0,0.7,0.0,0.5,"The video shows children in a staged celebration context with visible commercial links and some performative elements, but lacks emotional bait, conflict, or privacy violations, indicating moderate exploitation risk.",euw8Aygwa1A,4 Million Subscriber Party! 🎉 (WK 323.7) | Bratayley
0.7,0.2,0.0,0.0,0.6,0.0,0.5,"The video shows children engaged in a staged activity (cheese on face) likely created for the camera with some commercial promotion, but lacks strong emotional bait, conflict, or privacy violations.",52xv44AO2VU,Cheese Face (WK 29.2)
0.2,0.1,0.0,0.0,0.6,0.0,0.3,"The video appears to show children attending a public event naturally with some commercial promotion in the description, but lacks staged performance, emotional bait, conflict, or privacy violations, indicating low exploitation overall.",4o9ruQyS2Xo,Bratayley and the Kellogg's Tour of Gymnastics Champions 2016 (WK 306.3) | Bratayley
0.3,0.2,0.0,0.0,0.6,0.0,0.3,"The video appears to show a natural moment with some commercial promotion but lacks strong signs of scripted performance, emotional bait, conflict, or privacy violations, resulting in low overall exploitative risk.",t-2bQvr0gt0,This Camera is Like Getting All Up in My Face! (WK 166.4) | Bratayley
0.7,0.6,0.4,0.0,0.7,0.0,0.6,"The thumbnail shows a child with a surprised expression likely staged for the camera, the title suggests a scripted scenario, and the description includes multiple commercial links, indicating moderate performative labor and commercial content without clear privacy violations or challenge formats.",GMKW4D66ZeE,Bad Weather Wimp (WK 269) | Bratayley
0.7,0.4,0.0,0.0,0.8,0.0,0.6,"The video features a staged jewelry haul with commercial links and some performative elements, but lacks conflict, challenge format, or privacy violations, indicating moderate exploitation primarily for content generation and promotion.",GyJTftQrPyI,Annie's Jewelry Haul 😍 (WK 373.6) | Bratayley
0.1,0.2,0.3,0.0,0.7,0.0,0.3,"The video title and description suggest some commercial promotion and mild emotional appeal but lack clear signs of staged child performance, conflict, or privacy violations.",1vLPw5UsFyQ,So Much Loss (WK 294.4) | Bratayley
0.2,0.1,0.0,0.0,0.3,0.0,0.2,"The video appears to be a natural family vlog of a child visiting Washington D.C. with mild commercial promotion but lacks staged performance, emotional exaggeration, conflict, or privacy violations.",47ACs6ukZ8A,Hayley Takes on Washington D.C. 🇺🇸 (WK 346.3) | Bratayley
0.2,0.3,0.0,0.0,0.6,0.0,0.3,"The thumbnail shows a child making a sad face likely for the camera but not in a highly staged way, the title is neutral, commercial links are present in the description, and there is no clear drama, challenge, or privacy violation.",zo0D2m55IxE,Happy Sad Face (WK 284.7) | Bratayley
0.3,0.1,0.0,0.0,0.6,0.0,0.3,"The video shows a child engaging in a staged climbing activity likely created for the camera with some commercial promotion, but lacks emotional bait, conflict, challenge format, or privacy violations, indicating low overall exploitation.",SeJph8I2nUw,Climbing the Eiffel Tower (WK 268.7) | Bratayley
0.7,0.1,0.0,0.0,0.3,0.0,0.4,"The video likely involves staged playful activity with children in swimsuits engaging in a pudding painting activity, includes some commercial links, but lacks emotional bait, conflict, or privacy violations, suggesting moderate performative labor but low overall exploitation.",ixg0uyPAWfA,Painted in Pudding  (WK 15)
0.3,0.2,0.0,0.0,0.7,0.0,0.3,"The video appears to show a natural activity with some commercial promotion but lacks strong signs of scripted performance, emotional manipulation, conflict, or privacy violations.",ioT4Lp2fJJY,Acting Crazy at the Park! (WK 172.7) | Bratayley
0.6,0.1,0.0,0.0,0.7,0.0,0.4,"The video shows children performing a staged gymnastics activity likely created for the camera, includes commercial links in the description, but lacks emotional bait, conflict, challenge format, or privacy violations, resulting in moderate concern for exploitation.",lOv-k2Qb4Og,Synchronized Gymnastics (WK 135.2) | Bratayley
0.8,0.6,0.7,0.3,0.7,0.0,0.6,"The video features a staged prank with a child clearly performing for the camera, uses emotional bait in the thumbnail and title, includes commercial links, and manufactures mild conflict, but does not expose private or intimate moments.",RYS-T93sB1M,"10,000 Ball Pit Prank 😂 (WK 393.7) | Bratayley"
0.3,0.6,0.4,0.0,0.7,0.1,0.5,"The thumbnail and title suggest some staged emotional content and mild conflict, with visible commercial links, but no clear challenge or severe privacy issues, indicating moderate exploitation risk.",MtaDUsveacY,This Isn't Looking Good...  (WK 398.5) | Bratayley
0.7,0.3,0.4,0.0,0.6,0.0,0.5,"The video appears to involve staged content with some mild conflict and commercial promotion, but lacks strong emotional bait, challenge format, or privacy violations, resulting in moderate exploitative potential.",THcrjkmSrtc,"Help Me, You Dummy! (WK 193) | Bratayley"
0.3,0.1,0.0,0.0,0.7,0.0,0.3,"The video appears to show natural play at a party with minimal scripted content, low emotional exaggeration, no conflict or challenge, but includes commercial links promoting products, indicating some commercial intent but low overall exploitation.",8q7efLkL5i8,Party At Annie & Hayley's 🎉 (WK 377.7) | Bratayley
0.7,0.2,0.1,0.0,0.3,0.0,0.3,"The video shows a staged activity likely created for the camera with some commercial links in the description, but lacks strong emotional bait, conflict, challenge format, or privacy violations, resulting in moderate performative labor but low overall exploitation.",AHgVBeF89uk,Trying to Make Her Taller (WK 296.2) | Bratayley
0.7,0.3,0.4,0.5,0.6,0.0,0.5,"The video appears to involve staged playful content with some commercial promotion, mild emotional bait and conflict elements, but no clear privacy violations, indicating moderate exploitation potential.",I-TVKhlNlJA,Cheese War (WK 294.7) | Bratayley
0.7,0.1,0.0,0.0,0.6,0.0,0.5,"The video shows a staged dance performance likely created for the camera with commercial links present, but lacks emotional bait, conflict, challenge format, or privacy violations, making it moderately exploitative as content-generation rather than pure family documentation.",jdWUrJ2Xbo4,Dance Lesson and Bedtime Stories (WK 247) | Bratayley
0.2,0.1,0.0,0.0,0.6,0.0,0.3,"The video appears to show a natural family moment with minimal staging, low emotional exaggeration, no conflict or challenge, but includes commercial links promoting merchandise, making it somewhat exploitative for content generation purposes.",s_kAYioglXc,Remember That Time We Had a Kitchen? (WK 238.6) | Bratayley
0.8,0.3,0.1,0.9,0.7,0.0,0.6,"The video features children performing a staged soda challenge with visible branded products and some emotional appeal, indicating moderate performative labor and commercial content but no privacy violation or strong conflict.",c_BTlShXmJk,Soda Challenge (WK 252.2) | Bratayley
0.3,0.2,0.0,0.0,0.6,0.1,0.3,"The video appears to show a child performing a physical activity likely for the camera with some commercial links in the description, but lacks strong emotional bait, conflict, or challenge elements and does not clearly expose private or exploitative content.",dvmbL3ZlBGM,Do NOT Break Your Elbow! (WK 123.6)
0.7,0.6,0.5,0.0,0.3,0.1,0.5,"The thumbnail and title suggest staged content with some emotional and conflict elements, moderate commercial promotion, but no clear privacy violations or challenge format, indicating moderate exploitation risk.",ul6HPQBgPzc,The Curse (WK 200.5) | Bratayley
0.7,0.3,0.0,0.0,0.6,0.0,0.5,"The thumbnail shows a child posing excitedly with candy, indicating some performative content and commercial promotion, but lacks conflict, challenge format, or privacy violations, suggesting moderate exploitation potential.",yUjKBkWN84g,National Candy Day (WK 305.3) | Bratayley
0.2,0.1,0.0,0.0,0.3,0.0,0.2,"The thumbnail and title suggest a casual family vlog style video with minimal staging, low emotional exaggeration, no conflict or challenge format, some commercial links in description, and no privacy violations, indicating low exploitation risk.",wLMB1XMpINw,Mad Cow Disease (WK 179.3) | Bratayley
0.2,0.3,0.1,0.0,0.4,0.3,0.3,"The thumbnail and title depict a child showing mild displeasure about being sick, with some commercial links in the description, but the content appears mostly natural and not heavily staged or dramatized.",SjoEb9rSfmc,Annie has the Flu! (WK 208.7) | Bratayley
0.7,0.3,0.0,0.0,0.6,0.0,0.5,"The video likely involves staged content (eating alligator as a challenge or unusual activity) with some commercial promotion, but lacks overt emotional bait, conflict, or privacy violations, making it moderately exploitative as content creation rather than pure family documentation.",uo6KoZGkSo8,Eating Alligator (WK 282.2) | Bratayley
0.3,0.4,0.0,0.0,0.7,0.0,0.3,"The video appears to show a natural family moment with some emotional bait in the title and thumbnail, includes commercial links, but lacks manufactured drama or privacy violations, suggesting low to moderate exploitation.",mH1gs22g0_g,Reunited 😍 (WK 340.4) | Bratayley
0.7,0.3,0.0,0.0,0.6,0.0,0.5,"The video shows a child in a staged Halloween-themed setting likely created for the camera with some commercial promotion, but lacks strong emotional bait, conflict, or privacy violations, resulting in moderate exploitative potential.",6BRSSs-kuUU,It's Almost Halloween! (WK 198.5) | Bratayley
0.6,0.1,0.0,0.0,0.7,0.0,0.5,"The child is performing a staged role (Sgt. Major) in a commercialized family channel setting with visible product promotion, but lacks emotional bait, conflict, or privacy violations.",7FibZzsqawc,Sgt. Major of Costco! (WK 160.7) | Bratayley
0.3,0.6,0.2,0.0,0.7,0.4,0.5,"The thumbnail shows a child in apparent distress which may be emotional bait, combined with commercial links in the description and some exposure of a private emotional moment, but the content seems partially natural and not heavily staged or challenge-based.",XZTLpnj_6Gk,This Doesn't Feel Good (WK 317.2) | Bratayley
0.6,0.2,0.0,0.0,0.7,0.1,0.5,"The video shows a child posing for a themed Instagram-related thumbnail with some commercial links in the description, but lacks strong emotional bait, conflict, or challenge elements, indicating moderate performative labor and commercial intent without clear privacy violations.",wkDyy2jc5ek,New Instagram Theme! (WK 398.7) | Bratayley
0.2,0.1,0.3,0.0,0.8,0.1,0.3,"The video title suggests mild narrative conflict, the thumbnail shows a natural affectionate moment, and the description heavily promotes commercial content, but there is low indication of staged performance or privacy violation.",7YIH4sMoNAw,It's Annie's Fault (WK 276.2) | Bratayley
0.3,0.4,0.2,0.0,0.7,0.3,0.4,"The thumbnail and title suggest some staged content with mild emotional bait and commercial promotion, but lack strong challenge or conflict elements, and show some privacy concerns due to the child's exposed shoulders and serious expression.",jg5ydTWGBGY,We All Got Burned 🔥 (WK 343.3) | Bratayley
